Age,Gender,Education_Level,Marital_Status,Settlement_Type,Income_Covers_Expenses,Employment_Status,Future_Economic_Situation,Rich_Poor_Gap_Problem,Trust_Religious_Leaders,Trust_Islamist_Party,Trust_Government,Corruption_State_Agencies,Laws_Based_Sharia,Men_Better_Political_Leadership,Democracy_Preference,Freedom_Express_Opinion,Violence_Against_Women_Change,Internet_Usage_Frequency,Social_Media_Hours_Daily,Thought_Emigrating,Cntry_1,Cntry_5,Cntry_7,Cntry_8,Cntry_9,Cntry_10,Cntry_11,Cntry_12,Cntry_13,Cntry_15,Cntry_19,Cntry_21,Religious_Self_Description
23.0,1.0,3.0,1.0,2.0,3.0,6.0,3.0,2.0,4.0,4.0,3.0,1.0,5.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
60.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
50.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
54.0,1.0,2.0,4.0,1.0,4.0,7.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
72.0,2.0,1.0,7.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
40.0,1.0,4.0,1.0,2.0,3.0,6.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
45.0,1.0,2.0,4.0,2.0,4.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
42.0,2.0,2.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
36.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
23.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,2.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
47.0,1.0,4.0,4.0,1.0,3.0,7.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
32.0,1.0,4.0,1.0,2.0,3.0,6.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
55.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
61.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
46.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
69.0,1.0,4.0,4.0,1.0,2.0,3.0,5.0,1.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
56.0,1.0,2.0,4.0,1.0,4.0,6.0,5.0,1.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
43.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
63.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
71.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
58.0,1.0,2.0,4.0,2.0,4.0,7.0,2.0,1.0,4.0,4.0,2.0,1.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33.0,2.0,1.0,4.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
49.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
47.0,2.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
60.0,2.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
37.0,1.0,2.0,4.0,1.0,4.0,6.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
19.0,1.0,4.0,1.0,1.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
20.0,1.0,4.0,1.0,2.0,2.0,6.0,3.0,1.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
41.0,1.0,4.0,1.0,2.0,3.0,6.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
58.0,2.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
60.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
67.0,2.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
18.0,1.0,4.0,1.0,1.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
62.0,1.0,2.0,7.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,5.0,3.0,3.0,3.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
45.0,1.0,7.0,4.0,1.0,1.0,6.0,2.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
73.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
64.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
43.0,2.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
30.0,2.0,4.0,1.0,1.0,4.0,6.0,5.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,1.0,4.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
60.0,2.0,1.0,4.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
25.0,1.0,2.0,1.0,2.0,4.0,6.0,1.0,1.0,2.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
45.0,1.0,4.0,4.0,2.0,4.0,7.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
60.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
32.0,1.0,2.0,4.0,2.0,4.0,7.0,5.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
66.0,1.0,2.0,4.0,1.0,4.0,7.0,1.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
29.0,1.0,3.0,1.0,1.0,4.0,7.0,5.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
30.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
48.0,1.0,6.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
36.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,2.0,6.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29.0,2.0,6.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
30.0,1.0,2.0,1.0,1.0,2.0,6.0,4.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
31.0,1.0,3.0,1.0,1.0,4.0,6.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
62.0,2.0,6.0,4.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
49.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
49.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,5.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
19.0,2.0,3.0,1.0,1.0,4.0,6.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
32.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
51.0,2.0,2.0,4.0,2.0,4.0,6.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
53.0,2.0,4.0,5.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
46.0,1.0,2.0,4.0,1.0,4.0,6.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
50.0,1.0,4.0,4.0,1.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
41.0,1.0,3.0,4.0,1.0,2.0,7.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
62.0,1.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
26.0,1.0,6.0,1.0,1.0,3.0,6.0,5.0,1.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
34.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
22.0,1.0,4.0,1.0,1.0,3.0,5.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
